Title,Price
Nokia 105,"₹1,248"
Nokia 105 SS 2021,"₹1,325"
Nokia 105 SS 2021,"₹1,349"
Nokia 105 DS 2020,"₹1,335"
Nokia 105 SS,"₹1,240"
Nokia 105 DS 2020,"₹1,399"
Nokia 150 TA-1235 DS,"₹2,489"
Nokia 110 TA-1302 DS,"₹1,702"
Nokia 5310ds,"₹3,494"
Nokia 110 TA-1302 DS,"₹1,694"
Nokia 5310 TA-1212 DS,"₹3,849"
Nokia 3310 DS 2020,"₹3,640"
Nokia TA-1010/105,"₹1,348"
Nokia 105 DS 2020,"₹1,399"
Nokia 3310 DS 2020,"₹4,399"
"Nokia 2.4 (Charcoal Grey, 64 GB)","₹10,399"
Nokia 125 TA-1253 DS,"₹2,198"
"Nokia C3 (Nordic Blue, 16 GB)","₹7,299"
"Nokia 2.4 (Fjord Blue, 64 GB)","₹10,399"
"Nokia C3 (Sand, 16 GB)","₹7,299"
"Nokia 5 (Tempered Blue, 16 GB)","₹11,990"
Nokia 3310 DS 2020,"₹3,690"
"Nokia 5.4 (Polar Night, 64 GB)","₹14,499"
Nokia 215 4G DS 2020,"₹3,399"
